Title,Year,Rating,Votes,Decade
Avengers: Endgame,2019,8.7,394632,2010
Spider-Man: Into the Spider-Verse,2018,8.4,199435,2010
Avengers: Infinity War,2018,8.4,657004,2010
Green Book,2018,8.2,193829,2010
Andhadhun,2018,8.1,41901,2010
Coco,2017,8.3,272499,2010
"Three Billboards Outside Ebbing, Missouri",2017,8.1,339946,2010
Logan,2017,8.1,553983,2010
Your Name.,2016,8.3,131814,2010
Dangal,2016,8.3,121027,2010
Hacksaw Ridge,2016,8.1,364022,2010
The Handmaiden,2016,8,78025,2010
Inside Out,2015,8.1,532784,2010
Room,2015,8.1,314524,2010
Mad Max: Fury Road,2015,8.1,776614,2010
Spotlight,2015,8.1,362975,2010
Interstellar,2014,8.5,1289680,2010
Whiplash,2014,8.5,611671,2010
Gone Girl,2014,8.1,758065,2010
Relatos salvajes,2014,8.1,150235,2010
The Grand Budapest Hotel,2014,8.1,631019,2010
Guardians of the Galaxy,2014,8,941161,2010
PK,2014,8,137003,2010
The Wolf of Wall Street,2013,8.1,1029494,2010
12 Years a Slave,2013,8.1,574896,2010
Prisoners,2013,8.1,523767,2010
Rush,2013,8.1,390273,2010
Django Unchained,2012,8.4,1204481,2010
The Dark Knight Rises,2012,8.3,1381222,2010
The Hunt,2012,8.3,240370,2010
Gangs of Wasseypur,2012,8,68718,2010
The Intouchables,2011,8.5,672509,2010
A Separation,2011,8.2,195482,2010
Warrior,2011,8.1,402440,2010
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,688767,2010
The Help,2011,8,391358,2010
Inception,2010,8.7,1830622,2010
Toy Story 3,2010,8.3,677987,2010
Incendies,2010,8.2,123425,2010
Shutter Island,2010,8.1,1000897,2010
How to Train Your Dragon,2010,8.1,608435,2010
3 Idiots,2009,8.3,298189,2000
Inglourious Basterds,2009,8.3,1113850,2000
Up,2009,8.2,841255,2000
The Secret in Their Eyes,2009,8.2,172373,2000
Mary and Max,2009,8.1,150444,2000
Hachi: A Dog's Tale,2009,8.1,222302,2000
The Dark Knight,2008,9,2055819,2000
WALL·E,2008,8.4,901840,2000
Gran Torino,2008,8.1,667774,2000
Taare Zameen Par,2007,8.3,140627,2000
No Country for Old Men,2007,8.1,764030,2000
There Will Be Blood,2007,8.1,461817,2000
Into the Wild,2007,8.1,522837,2000
The Departed,2006,8.5,1070951,2000
The Prestige,2006,8.5,1060265,2000
The Lives of Others,2006,8.4,321434,2000
Pan's Labyrinth,2006,8.2,570346,2000
Rang De Basanti,2006,8,100231,2000
Batman Begins,2005,8.2,1188639,2000
Babam ve Oglum,2005,8.2,66278,2000
V for Vendetta,2005,8.1,949257,2000
Eternal Sunshine of the Spotless Mind,2004,8.3,821829,2000
Downfall,2004,8.2,304105,2000
Howl's Moving Castle,2004,8.2,281572,2000
Million Dollar Baby,2004,8.1,584563,2000
Hotel Rwanda,2004,8.1,312597,2000
Before Sunset,2004,8,207302,2000
The Lord of the Rings: The Return of the King,2003,8.9,1487166,2000
Oldeuboi,2003,8.3,456544,2000
Finding Nemo,2003,8.1,863637,2000
