Latitude,Longitude,labels
36.2141284,-81.6824238,Appalachian State University
35.4066702,-80.58579019999999,Barber-Scotia College
35.7361756,-77.9137731,Barton College
35.2616103,-81.04333299999999,Belmont Abbey College
36.067872,-79.77921599999999,Bennett College
35.2367409,-82.72949589999999,Brevard College
35.4083451,-78.7394405,Campbell University
36.146124,-80.256248,Carolina Christian College
36.0879899,-80.2499663,Carolina University
35.1818248,-80.9275565,Carolinas College of Health Sciences
35.691394,-80.4825793,Catawba College
35.242862,-80.80250699999999,Charlotte Christian College and Theological Seminary
36.4354563,-77.09697589999999,Chowan University
35.5008018,-80.8446725,Davidson College
36.0014258,-78.9382286,Duke University
35.6068806,-77.3665364,East Carolina University
36.281065,-76.2139598,Elizabeth City State University
36.1026877,-79.5023313,Elon University
35.0742206,-78.8924896,Fayetteville State University
35.2475249,-81.6706979,Gardner-Webb University
42.6124501,-70.8450204,Gordon-Conwell Theological Seminary
36.0710001,-79.8002632,Greensboro College
36.0917988,-79.88873989999999,Guilford College
35.9721829,-79.99517000000002,High Point University
41.8197902,-71.4130203,Johnson & Wales University
35.2433851,-80.85579349999999,Johnson C. Smith University
36.1617964,-81.87537449999999,Lees-McRae College
35.7414291,-81.3262171,Lenoir–Rhyne University
35.6714911,-80.48473659999999,Livingstone College
36.1049994,-78.298249,Louisburg College
35.826512,-82.5540015,Mars Hill University
35.7991715,-78.6882481,Meredith College
39.1489094,-92.6840726,Methodist University
36.3046,-76.2171,Mid-Atlantic Christian University
35.6464927,-82.29751379999999,Montreat College
36.0770034,-79.7718199,North Carolina Agricultural and Technical State University
35.9752487,-78.899654,North Carolina Central University
35.7846633,-78.6820946,North Carolina State University
36.0186234,-77.77421850000002,North Carolina Wesleyan College
35.4842942,-80.2833972,Pfeiffer University
35.188626,-80.83297240000002,Queens University of Charlotte
36.0875173,-80.24120719999999,Salem College
35.771043,-78.6379262,Shaw University
35.9807419,-78.5124393,Southeastern Baptist Theological Seminary
35.8005358,-78.41630769999999,Southeastern Free Will Baptist College
34.7447896,-79.4801107,St. Andrews University
35.7876962,-78.6188766,St. Augustine's University
35.20782,-78.07108869999999,University of Mount Olive
35.617084,-82.5642622,University of North Carolina at Asheville
35.9049122,-79.0469134,University of North Carolina at Chapel Hill
35.3070929,-80.735164,University of North Carolina at Charlotte
36.0689296,-79.8101976,University of North Carolina at Greensboro
34.6899339,-79.2005823,University of North Carolina at Pembroke
34.223874,-77.8696036,University of North Carolina at Wilmington
36.076292,-80.237011,University of North Carolina School of the Arts
36.1355052,-80.2791958,Wake Forest University
35.611126,-82.44227910000001,Warren Wilson College
35.3090108,-83.1863612,Western Carolina University
35.78948099999999,-78.637391,William Peace University
34.9858972,-80.4430557,Wingate University
36.0891924,-80.22530739999999,Winston-Salem State University
